Logger, TechAgentLk:         	Automatically truncated logfile to 1048576, MadelineProto 8.6.0
Files, TechAgentLk:          	Download status: 3.5605289928789%
Files, TechAgentLk:          	Download status: 3.6622583926755%
Files, TechAgentLk:          	Download status: 3.7131230925738%
Files, TechAgentLk:          	Partial download time: 260.0997440815
Files, TechAgentLk:          	Partial download speed: 2.354359 mbps
Files, TechAgentLk:          	Download status: 82.857142857143%
Files, TechAgentLk:          	Download status: 3.7131230925738%
Files, TechAgentLk:          	Partial download time: 281.06151413918
Files, TechAgentLk:          	Partial download speed: 2.178769 mbps
Files, TechAgentLk:          	Download status: 3.001017293998%
Files, TechAgentLk:          	Partial download time: 238.64990401268
Files, TechAgentLk:          	Partial download speed: 2.073865 mbps
Files, TechAgentLk:          	Download status: 84.285714285714%
Files, TechAgentLk:          	Partial download time: 226.52012705803
Files, TechAgentLk:          	Partial download speed: 2.184917 mbps
Files, TechAgentLk:          	Download status: 3.0518819938962%
Files, TechAgentLk:          	Download status: 3.6113936927772%
Files, TechAgentLk:          	Partial download time: 288.86579012871
Files, TechAgentLk:          	Partial download speed: 2.061826 mbps
Files, TechAgentLk:          	Download status: 3.6622583926755%
Files, TechAgentLk:          	Download status: 3.763987792472%
Files, TechAgentLk:          	Download status: 3.763987792472%
Files, TechAgentLk:          	Download status: 3.8148524923703%
Files, TechAgentLk:          	Partial download time: 260.55531311035
Files, TechAgentLk:          	Partial download speed: 2.414633 mbps
Files, TechAgentLk:          	Download status: 2.441505595117%
Files, TechAgentLk:          	Download status: 3.1027466937945%
Files, TechAgentLk:          	Partial download time: 239.11432886124
Files, TechAgentLk:          	Partial download speed: 2.140001 mbps
Files, TechAgentLk:          	Download status: 2.4923702950153%
Files, TechAgentLk:          	Partial download time: 198.90865707397
Files, TechAgentLk:          	Partial download speed: 2.061213 mbps
Files, TechAgentLk:          	Download status: 85.714285714286%
Files, TechAgentLk:          	Download status: 3.8148524923703%
Files, TechAgentLk:          	Partial download time: 281.74200606346
Files, TechAgentLk:          	Partial download speed: 2.233055 mbps
Files, TechAgentLk:          	Download status: 87.142857142857%
Files, TechAgentLk:          	Partial download time: 227.12348103523
Files, TechAgentLk:          	Partial download speed: 2.252981 mbps
Files, TechAgentLk:          	Download status: 3.7131230925738%
Files, TechAgentLk:          	Partial download time: 289.36840796471
Files, TechAgentLk:          	Partial download speed: 2.116224 mbps
Files, TechAgentLk:          	Download status: 3.1536113936928%
Files, TechAgentLk:          	Download status: 3.763987792472%
Files, TechAgentLk:          	Download status: 3.8657171922686%
Files, TechAgentLk:          	Download status: 3.9165818921668%
Files, TechAgentLk:          	Partial download time: 261.05232405663
Files, TechAgentLk:          	Partial download speed: 2.474304 mbps
Files, TechAgentLk:          	Download status: 3.8657171922686%
Files, TechAgentLk:          	Download status: 3.204476093591%
Files, TechAgentLk:          	Partial download time: 239.65278100967
Files, TechAgentLk:          	Partial download speed: 2.205199 mbps
Files, TechAgentLk:          	Download status: 2.5432349949135%
Files, TechAgentLk:          	Download status: 88.571428571429%
Files, TechAgentLk:          	Download status: 2.5940996948118%
Files, TechAgentLk:          	Partial download time: 199.59207010269
Files, TechAgentLk:          	Partial download speed: 2.138213 mbps
Files, TechAgentLk:          	Download status: 3.9165818921668%
Files, TechAgentLk:          	Partial download time: 282.21544909477
Files, TechAgentLk:          	Partial download speed: 2.288757 mbps
SessionPaths, TechAgentLk:   	Waiting for exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/safe.php.lock...
SessionPaths, TechAgentLk:   	Got exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/safe.php.lock...
SessionPaths, TechAgentLk:   	Waiting for exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/lightState.php.lock...
SessionPaths, TechAgentLk:   	Got exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/lightState.php.lock...
APIWrapper, TechAgentLk:     	Saved session!
Files, TechAgentLk:          	Download status: 90%
Files, TechAgentLk:          	Partial download time: 241.96804785728
Files, TechAgentLk:          	Partial download speed: 2.184099 mbps
Files, TechAgentLk:          	Download status: 3.8148524923703%
Files, TechAgentLk:          	Partial download time: 304.24640893936
Files, TechAgentLk:          	Partial download speed: 2.067881 mbps
Files, TechAgentLk:          	Download status: 3.8657171922686%
Files, TechAgentLk:          	Download status: 3.2553407934893%
Files, TechAgentLk:          	Download status: 3.3062054933876%
Files, TechAgentLk:          	Partial download time: 254.39494299889
Files, TechAgentLk:          	Partial download speed: 2.143358 mbps
Files, TechAgentLk:          	Download status: 3.9674465920651%
Files, TechAgentLk:          	Download status: 3.9674465920651%
Files, TechAgentLk:          	Download status: 4.0183112919634%
Files, TechAgentLk:          	Partial download time: 296.95145010948
Files, TechAgentLk:          	Partial download speed: 2.231678 mbps
Files, TechAgentLk:          	Download status: 4.0183112919634%
Files, TechAgentLk:          	Partial download time: 276.08149409294
Files, TechAgentLk:          	Partial download speed: 2.400378 mbps
Files, TechAgentLk:          	Download status: 91.428571428571%
Files, TechAgentLk:          	Download status: 2.6449643947101%
Files, TechAgentLk:          	Download status: 2.6958290946083%
Files, TechAgentLk:          	Partial download time: 214.51808905602
Files, TechAgentLk:          	Partial download speed: 2.067646 mbps
Files, TechAgentLk:          	Download status: 92.857142857143%
Files, TechAgentLk:          	Partial download time: 242.54449892044
Files, TechAgentLk:          	Partial download speed: 2.24808 mbps
Files, TechAgentLk:          	Download status: 3.9165818921668%
Files, TechAgentLk:          	Partial download time: 304.83938694
Files, TechAgentLk:          	Partial download speed: 2.118895 mbps
Files, TechAgentLk:          	Download status: 3.9674465920651%
Files, TechAgentLk:          	Download status: 3.3570701932859%
Files, TechAgentLk:          	Download status: 3.4079348931841%
Files, TechAgentLk:          	Partial download time: 254.99140787125
Files, TechAgentLk:          	Partial download speed: 2.204139 mbps
Files, TechAgentLk:          	Download status: 4.0691759918616%
Files, TechAgentLk:          	Download status: 4.0691759918616%
Files, TechAgentLk:          	Download status: 4.1200406917599%
Files, TechAgentLk:          	Partial download time: 276.62715196609
Files, TechAgentLk:          	Partial download speed: 2.456292 mbps
Files, TechAgentLk:          	Download status: 4.1200406917599%
Files, TechAgentLk:          	Partial download time: 297.54144620895
Files, TechAgentLk:          	Partial download speed: 2.283638 mbps
Files, TechAgentLk:          	Download status: 94.285714285714%
Files, TechAgentLk:          	Download status: 2.7466937945066%
Files, TechAgentLk:          	Download status: 4.0183112919634%
Files, TechAgentLk:          	Partial download time: 305.3143529892
Files, TechAgentLk:          	Partial download speed: 2.170549 mbps
Files, TechAgentLk:          	Download status: 2.7975584944049%
Files, TechAgentLk:          	Partial download time: 215.1099190712
Files, TechAgentLk:          	Partial download speed: 2.139951 mbps
Files, TechAgentLk:          	Download status: 95.714285714286%
Files, TechAgentLk:          	Partial download time: 243.14382386208
Files, TechAgentLk:          	Partial download speed: 2.31154 mbps
Files, TechAgentLk:          	Download status: 3.4587995930824%
Files, TechAgentLk:          	Download status: 4.0691759918616%
Files, TechAgentLk:          	Download status: 3.5096642929807%
Files, TechAgentLk:          	Partial download time: 255.51436305046
Files, TechAgentLk:          	Partial download speed: 2.265289 mbps
Files, TechAgentLk:          	Download status: 4.1709053916582%
Files, TechAgentLk:          	Download status: 2.8484231943032%
Files, TechAgentLk:          	Download status: 4.1200406917599%
